n,lam,beta,<H1>,<-err,\int_0^{beta} \dtau <H1(tau)H1>,<--std,\int_0^{beta} \dtau tau <H1(tau)H1>,<--std,\int_0^{beta/2} \dtau tau <H1(tau)H1>,<--std,rng,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time (s)
2,-1.0929648241206031,5.0,1.11288,0.00297587731,10.6035493,0.0297752802,26.5089129,0.0744362144,6.54610425,0.0187860715,1370102282,20000000,1000000,10,1,0,0.34714,6,13.01
2,-1.0778894472361809,5.0,1.05066,0.00318975796,9.9771303,0.0307323293,24.9428655,0.0768262335,6.15340124,0.0192784084,1370102282,20000000,1000000,10,1,0,0.34874,6,13.04
2,-1.0628140703517588,5.0,0.98548,0.00340609517,9.32530445,0.0339351838,23.3132412,0.0848383554,5.74579281,0.0214069059,1370102282,20000000,1000000,10,1,0,0.34462,6,12.78
2,-1.0477386934673367,5.0,0.91674,0.00305365171,8.64572304,0.0292940429,21.6143729,0.0732327099,5.32197016,0.0183342032,1370102282,20000000,1000000,10,1,0,0.3443,8,12.73
2,-1.0326633165829147,5.0,0.8524,0.00302959963,8.01601316,0.0293776266,20.0400329,0.0734440665,4.93059388,0.0184427357,1370102282,20000000,1000000,10,1,0,0.33778,6,12.71
2,-1.0175879396984926,5.0,0.78546,0.00332804102,7.35220068,0.0300869689,18.3805217,0.0752183439,4.51613883,0.0185801726,1370102282,20000000,1000000,10,1,0,0.33122,6,12.48
2,-1.0025125628140703,5.0,0.7174,0.00305507675,6.68658854,0.0276595794,16.7164914,0.0691501117,4.10244401,0.0171212905,1370102282,20000000,1000000,10,1,0,0.32928,6,12.28
2,-0.9874371859296482,5.0,0.66062,0.00302951717,6.11303883,0.0271992334,15.2825971,0.0679980834,3.74268798,0.0167763305,1370102282,20000000,1000000,10,1,0,0.32744,6,12.53
2,-0.9723618090452262,5.0,0.6053,0.00324118204,5.57355089,0.0295368072,13.9338772,0.073842018,3.40777583,0.0182326833,1370102282,20000000,1000000,10,1,0,0.32268,6,12.68
2,-0.957286432160804,5.0,0.54776,0.00286915629,5.01100642,0.026224042,12.527516,0.0655594219,3.05788096,0.016273714,1370102282,20000000,1000000,10,1,0,0.31138,6,12.9
2,-0.9422110552763819,5.0,0.49738,0.0028742281,4.52179137,0.0256402807,11.3044784,0.0641007018,2.75447883,0.0158176973,1370102282,20000000,1000000,10,1,0,0.30824,6,13.04
2,-0.9271356783919599,5.0,0.45422,0.0027432953,4.1136361,0.0244609481,10.2839892,0.061147884,2.50336269,0.0150875179,1370102282,20000000,1000000,10,1,0,0.29376,6,13.27
2,-0.9120603015075377,5.0,0.40812,0.00251618504,3.66686337,0.0218299334,9.16715843,0.0545748336,2.22596964,0.0133892433,1370102282,20000000,1000000,10,1,0,0.28416,6,13.3
2,-0.8969849246231156,5.0,0.36588,0.00272385387,3.27035483,0.0235126982,8.17588707,0.0587817456,1.98228777,0.0143518242,1370102282,20000000,1000000,10,1,0,0.27506,6,13.48
2,-0.8819095477386935,5.0,0.32316,0.00258619629,2.85680527,0.0223785209,7.14201318,0.0559463021,1.72583638,0.0137004104,1370102282,20000000,1000000,10,1,0,0.27056,6,13.54
2,-0.8668341708542714,5.0,0.2931,0.00238139543,2.56141994,0.0197853625,6.40354985,0.0494634062,1.54204077,0.0119825537,1370102282,20000000,1000000,10,1,0,0.26528,6,13.46
2,-0.8517587939698493,5.0,0.26542,0.00246038786,2.30241936,0.0203610736,5.75604841,0.0509026841,1.38286732,0.012325804,1370102282,20000000,1000000,10,1,0,0.25968,6,13.58
2,-0.8366834170854272,5.0,0.23222,0.00231041956,1.99216224,0.0184964772,4.98040559,0.0462411931,1.19308561,0.0111107473,1370102282,20000000,1000000,10,1,0,0.24832,4,13.61
2,-0.8216080402010051,5.0,0.21236,0.00227155485,1.80113197,0.0186567307,4.50282992,0.0466418268,1.07505075,0.0112895031,1370102282,20000000,1000000,10,1,0,0.23878,4,13.64
