n,tau,lam,beta,H1,H1_std,corr,corr_std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,sign,sign_std,q,qmax,time
100,3.1155778894472363,1.0,20.0,-0.931587438,0.00707940818,1.33106982,0.0117095151,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.03
100,3.2160804020100504,1.0,20.0,-0.931587438,0.00707940818,1.32031266,0.0116763133,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.02
100,3.3165829145728645,1.0,20.0,-0.931587438,0.00707940818,1.3098545,0.0116418477,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.15
100,3.4170854271356785,1.0,20.0,-0.931587438,0.00707940818,1.29968787,0.011606183,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.06
100,3.5175879396984926,1.0,20.0,-0.931587438,0.00707940818,1.28980557,0.0115693945,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,24.98
100,3.6180904522613067,1.0,20.0,-0.931587438,0.00707940818,1.28020054,0.0115315667,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,24.97
100,3.7185929648241207,1.0,20.0,-0.931587438,0.00707940818,1.27086597,0.0114927902,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.02
100,3.819095477386935,1.0,20.0,-0.931587438,0.00707940818,1.2617952,0.0114531611,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.15
100,3.919597989949749,1.0,20.0,-0.931587438,0.00707940818,1.2529818,0.0114127785,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25
100,4.020100502512563,1.0,20.0,-0.931587438,0.00707940818,1.24441948,0.0113717441,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.03
100,4.120603015075377,1.0,20.0,-0.931587438,0.00707940818,1.23610216,0.0113301602,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.01
100,4.2211055276381915,1.0,20.0,-0.931587438,0.00707940818,1.22802393,0.0112881297,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.22
100,4.3216080402010055,1.0,20.0,-0.931587438,0.00707940818,1.22017903,0.0112457543,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.01
100,4.42211055276382,1.0,20.0,-0.931587438,0.00707940818,1.21256188,0.0112031345,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.07
100,4.522613065326634,1.0,20.0,-0.931587438,0.00707940818,1.20516708,0.0111603687,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.05
100,4.623115577889448,1.0,20.0,-0.931587438,0.00707940818,1.19798934,0.0111175528,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.34
100,4.723618090452262,1.0,20.0,-0.931587438,0.00707940818,1.19102357,0.0110747795,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.05
100,4.824120603015076,1.0,20.0,-0.931587438,0.00707940818,1.18426481,0.0110321383,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.07
100,4.92462311557789,1.0,20.0,-0.931587438,0.00707940818,1.17770825,0.010989715,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.06
100,5.025125628140704,1.0,20.0,-0.931587438,0.00707940818,1.17134921,0.0109475914,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.06
100,5.125628140703518,1.0,20.0,-0.931587438,0.00707940818,1.16518317,0.0109058452,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.06
100,5.226130653266332,1.0,20.0,-0.931587438,0.00707940818,1.15920574,0.0108645499,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.05
100,5.326633165829146,1.0,20.0,-0.931587438,0.00707940818,1.15341266,0.0108237746,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.08
100,5.42713567839196,1.0,20.0,-0.931587438,0.00707940818,1.14779979,0.0107835839,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.08
100,5.527638190954774,1.0,20.0,-0.931587438,0.00707940818,1.14236313,0.0107440378,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.03
100,5.628140703517588,1.0,20.0,-0.931587438,0.00707940818,1.13709881,0.0107051919,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.08
