n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,-1.1080402010050252,20.0,1.58538279,0.00963244646,54.0939441,0.585887447,540.947066,5.85864978,130.938667,1.5339499,3026438146,None,59,100000,1000000,10,0.99958,0.000218828572,2.3083,8,53.28
100,-1.0929648241206031,20.0,1.53196004,0.0097859772,51.5825521,0.576403183,515.820722,5.76452356,124.323735,1.50776091,3026438146,None,59,100000,1000000,10,0.9996,0.000188419766,2.29061,8,52.72
100,-1.0778894472361809,20.0,1.45564272,0.00889467568,47.4266539,0.529194331,474.269656,5.29175897,113.370211,1.37741233,3026438146,None,59,100000,1000000,10,0.9998,9.73545666e-05,2.52354,8,49.16
100,-1.0628140703517588,20.0,1.36676624,0.00850485877,43.2544519,0.507139558,432.543068,5.07136667,102.586602,1.3143098,3026438146,None,59,100000,1000000,10,0.99946,0.000320694527,2.67885,10,52.09
100,-1.0477386934673367,20.0,1.28268876,0.00830604029,39.494947,0.484047115,394.954544,4.8391247,92.8682377,1.2610781,3026438146,None,59,100000,1000000,10,0.99974,0.000153046703,2.68051,10,53.37
100,-1.0326633165829147,20.0,1.18074235,0.00735387034,34.9700465,0.407708915,349.694686,4.07796165,81.2544858,1.05151155,3026438146,None,59,100000,1000000,10,0.99874,0.000793832653,2.7671,10,55.37
100,-1.0175879396984926,20.0,1.06351996,0.00637836361,30.2909441,0.302349207,302.910042,3.02217936,69.4488561,0.78247617,3026438146,None,59,100000,1000000,10,0.9994,0.000413817568,2.68315,10,51.03
100,-1.0025125628140703,20.0,0.937259635,0.00760064022,25.4072888,0.238438017,254.061923,2.38446973,57.3665031,0.592577994,3026438146,None,59,100000,1000000,10,0.99956,0.00036846801,2.70773,10,52.51
100,-0.9874371859296482,20.0,0.825417038,0.0086708477,21.0466241,0.186775166,210.457245,1.86773459,46.6543825,0.415019907,3026438146,None,59,100000,1000000,10,0.99944,0.000376447141,2.77862,10,55.2
100,-0.9723618090452262,20.0,0.73426352,0.00950496049,17.8634815,0.206661402,178.629581,2.0668541,38.8196428,0.466896562,3026438146,None,59,100000,1000000,10,0.99852,0.00120509227,2.57522,10,50.63
100,-0.957286432160804,20.0,0.623137846,0.0107389783,14.2210185,0.211568851,142.21255,2.11559433,30.1746294,0.456524683,3026438146,None,59,100000,1000000,10,0.9994,0.000324625209,2.45597,10,48.26
100,-0.9422110552763819,20.0,0.539471764,0.0118528553,11.3777263,0.226622199,113.777233,2.26605664,23.484712,0.482741131,3026438146,None,59,100000,1000000,10,0.99986,9.14057989e-05,2.4996,8,49.18
100,-0.9271356783919599,20.0,0.451105395,0.0116816088,8.9178356,0.213764259,89.1678938,2.13686307,17.870831,0.441807168,3026438146,None,59,100000,1000000,10,0.99914,0.000569507643,2.24897,8,44.61
100,-0.9120603015075377,20.0,0.378390897,0.0106244563,6.99116488,0.183537492,69.9144265,1.8356653,13.5754798,0.374327171,3026438146,None,59,100000,1000000,10,0.9997,0.000228580393,2.07802,8,46.72
100,-0.8969849246231156,20.0,0.325116519,0.0111242061,5.61886361,0.192114498,56.1986308,1.9215065,10.5685703,0.388319169,3026438146,None,59,100000,1000000,10,0.99978,0.000110704208,1.91018,11,42.95
100,-0.8819095477386935,20.0,0.295439403,0.0110121223,4.7408293,0.17844252,47.4129694,1.78507857,8.69343666,0.358717601,3026438146,None,59,100000,1000000,10,0.99976,0.000185221023,2.01288,10,46.84
100,-0.8668341708542714,20.0,0.241290263,0.00978803108,3.58318479,0.149019976,35.8312657,1.49045264,6.26128711,0.287539288,3026438146,None,59,100000,1000000,10,0.99996,4e-05,1.74102,8,40.66
100,-0.8517587939698493,20.0,0.211067812,0.00936566076,2.92129651,0.135433614,29.2098156,1.35400187,4.92239908,0.257732451,3026438146,None,59,100000,1000000,10,0.99984,0.000123118776,1.68277,8,38.72
100,-0.8366834170854272,20.0,0.185989517,0.00905759608,2.42538952,0.12435669,24.2516541,1.24320891,3.9799633,0.232619394,3026438146,None,59,100000,1000000,10,0.99948,0.000424782486,1.63596,8,37.45
100,-0.8216080402010051,20.0,0.16349233,0.00848406726,2.00493036,0.111301536,20.0411684,1.11220958,3.19670817,0.207426142,3026438146,None,59,100000,1000000,10,0.99998,2e-05,1.57457,12,40.47
100,-0.8065326633165829,20.0,0.141794368,0.00760899214,1.61913732,0.0919994051,16.1887994,0.919692036,2.43986737,0.160466044,3026438146,None,59,100000,1000000,10,0.99998,2e-05,1.4219,10,33.37
100,-0.7914572864321608,20.0,0.125195721,0.00665356433,1.33704089,0.0758306812,13.3716971,0.75856991,1.91852031,0.126835767,3026438146,None,59,100000,1000000,10,0.99994,3.45016151e-05,1.34619,8,30.02
100,-0.7763819095477387,20.0,0.108641849,0.00640224685,1.09256725,0.0684123623,10.9326594,0.685262444,1.50085586,0.11028821,3026438146,None,59,100000,1000000,10,0.99976,0.000201823017,1.25925,8,28.95
100,-0.7613065326633166,20.0,0.0886760394,0.00572373243,0.839749323,0.0566765072,8.39201461,0.56618256,1.09961903,0.0852084582,3026438146,None,59,100000,1000000,10,0.99988,0.000101901598,1.07045,8,24.42
100,-0.7462311557788945,20.0,0.0806744844,0.005321039,0.72502467,0.0507019482,7.24663938,0.506643649,0.916703959,0.0774584954,3026438146,None,59,100000,1000000,10,0.99998,2e-05,1.00865,6,20.14
