n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
2,1.0,5.0,-0.70944,0.00309623842,6.61072104,0.0298692185,16.5268227,0.0746753839,4.05525465,0.0186782517,1313211672,None,0,100000,1000000,10,1,0,0.32178,6,1.72
100,1.0,5.0,-0.69340231,0.0378318652,6.49689371,0.46024764,16.2014347,1.15070932,4.00116047,0.287178396,1313211672,None,26,100000,1000000,10,0.43424,0.0269586492,6.12567,20,358
2,1.0,5.0,-0.70976,0.00312994502,6.59794198,0.0288249881,16.4948349,0.0720613076,4.04489084,0.0178622306,185933287,None,0,100000,1000000,10,1,0,0.32994,6,1.73
100,1.0,5.0,-0.707915959,0.01154819,6.57170615,0.10240409,16.4297828,0.256019316,4.02710008,0.0644326174,185933287,None,163,100000,1000000,10,0.99928,0.000230954019,0.34524,4,32.64
2,1.0,5.0,-0.70588,0.00315351885,6.57611074,0.029217415,16.4402769,0.0730435375,4.03365743,0.0181636332,2643867551,None,0,100000,1000000,10,1,0,0.32386,8,1.73
100,1.0,5.0,-0.698712901,0.0112628989,6.53183956,0.101542907,16.3367794,0.254042357,4.00650043,0.0630964473,2643867551,None,172,100000,1000000,10,0.99166,0.00213776936,0.3997,7,49.71
2,1.0,5.0,-0.71312,0.00323364939,6.6383403,0.0301602432,16.5958708,0.0753989971,4.07131556,0.0187340488,1400802099,None,0,100000,1000000,10,1,0,0.32454,6,1.7
100,1.0,5.0,-0.720523813,0.0145761303,6.64033849,0.162652309,16.6318135,0.405632734,4.04047258,0.100754978,1400802099,None,189,100000,1000000,10,0.7359,0.0170366826,1.92699,15,306.31
2,1.0,5.0,-0.70846,0.0030647159,6.59846818,0.0288387079,16.4961905,0.0720957746,4.0475259,0.0180051323,309524274,None,0,100000,1000000,10,1,0,0.32546,6,1.71
100,1.0,5.0,-0.72382423,0.0108704598,6.71364355,0.109877978,16.789482,0.27431382,4.11511221,0.0690212554,309524274,None,88,100000,1000000,10,0.95172,0.00522622427,0.61641,17,63.81
2,1.0,5.0,-0.7127,0.00302134973,6.63458903,0.0280857645,16.5864726,0.0702144114,4.06924577,0.0174615548,463614167,None,0,100000,1000000,10,1,0,0.32242,6,1.71
100,1.0,5.0,-0.667042005,0.0221640216,6.18375915,0.224191624,15.4702938,0.559161371,3.776444,0.139915146,463614167,None,31,100000,1000000,10,0.6759,0.0228592419,3.03785,18,205.01
2,1.0,5.0,-0.7124,0.00307211843,6.63790768,0.0281078971,16.5947291,0.0702679527,4.07240711,0.0174243669,984633678,None,0,100000,1000000,10,1,0,0.32418,6,1.73
100,1.0,5.0,-0.729636405,0.0127408474,6.83014848,0.12580192,17.0770341,0.314624248,4.19350596,0.0782517856,984633678,None,16,100000,1000000,10,0.98498,0.00455766251,0.48249,8,6.65
2,1.0,5.0,-0.71304,0.00293774659,6.63665756,0.0279891514,16.5916439,0.0699728786,4.07020223,0.0174967634,1740697352,None,0,100000,1000000,10,1,0,0.32926,6,1.73
